episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_steps,agent_9_total_distance,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_10_steps,agent_10_total_distance,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
55,60.015625,42,,,,18,0,19,9,,,6,3,5,0,,,7,8,10,20,,,8,15,0,27,,,15,22,18,1,,,12,29,6,15,,,18,14,6,5,,,6,12,10,19,,,7,13,7,12,,,6.0,26.0,8.0,0.0,,,,,,
56,60.03125,42,,,,0,24,6,0,,,0,5,1,13,,,6,19,1,29,,,19,29,10,25,,,19,11,19,13,,,11,0,13,0,,,6,17,7,0,,,1,10,6,24,,,0,1,5,1,,,6.0,5.0,1.0,2.0,,,,,,
57,60.03125,42,,,,10,23,19,25,,,10,15,16,22,,,0,1,10,28,,,6,23,19,2,,,3,0,7,7,,,1,8,19,26,,,13,14,15,14,,,8,14,11,28,,,11,1,19,7,,,13.0,28.0,7.0,15.0,,,,,,
58,1.03125,42,57.0,42.0,41.0,3,29,16,29,35.0,34.0,19,21,6,28,8.0,7.0,10,28,11,22,7.0,6.0,16,0,10,0,30.0,29.0,7,3,11,28,37.0,36.0,18,29,6,23,57.0,56.0,0,16,19,23,3.0,2.0,0,26,0,24,29.0,28.0,7,14,19,26,,,,,,,25.0,24.0,14.0,0.0,14.0,14.0
59,60.078125,42,,,,1,5,4,29,,,4,0,0,9,,,17,14,7,14,,,14,15,15,29,,,19,23,19,21,,,14,29,7,10,,,11,1,19,1,,,6,7,19,26,,,0,1,18,15,,,0.0,28.0,7.0,4.0,,,,,,
60,60.046875,42,,,,6,2,9,1,,,19,24,16,22,,,1,25,2,0,,,6,22,19,12,,,0,16,6,29,,,16,14,17,14,,,11,22,1,24,,,0,19,0,8,,,1,20,0,12,,,10.0,1.0,6.0,13.0,,,,,,
61,60.015625,42,,,,19,19,0,1,,,0,11,18,29,,,6,12,14,22,,,0,25,6,18,,,19,14,16,22,,,12,15,6,15,,,15,14,19,8,,,13,28,1,23,,,11,29,0,23,,,15.0,28.0,10.0,28.0,,,,,,
62,60.0625,42,,,,1,23,15,1,,,18,15,6,19,,,6,29,13,14,,,0,1,19,6,,,19,18,10,25,,,7,15,12,14,,,2,0,1,28,,,12,22,1,24,,,8,15,6,23,,,0.0,6.0,18.0,14.0,,,,,,
63,60.015625,42,,,,8,14,0,26,,,6,7,2,29,,,15,29,9,15,,,18,14,19,4,,,19,7,18,29,,,4,29,1,12,,,13,22,12,22,,,10,21,0,19,,,7,0,12,15,,,6.0,18.0,6.0,6.0,,,,,,
64,60.046875,42,,,,7,1,1,1,,,13,29,0,27,,,6,25,10,17,,,16,28,1,12,,,9,0,18,14,,,19,29,13,14,,,11,14,14,15,,,4,1,10,22,,,15,28,0,13,,,6.0,21.0,6.0,17.0,,,,,,
