episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_steps,agent_9_total_distance,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_10_steps,agent_10_total_distance,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_11_steps,agent_11_total_distance,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
58,60.03125,42,,,,9,0,13,14,,,19,29,14,15,,,11,14,10,22,,,4,1,0,13,,,15,28,6,17,,,6,21,7,11,,,1,1,19,10,,,0,27,1,20,,,10,17,6,6,,,1,12,1,0,,,18.0,14.0,0.0,23.0,,,,,,
59,60.03125,42,,,,6,11,19,2,,,0,18,6,6,,,0,15,7,0,,,6,8,6,24,,,1,16,19,4,,,10,1,19,20,,,0,4,15,0,,,5,0,7,13,,,7,1,9,1,,,19,21,19,25,,,11.0,1.0,3.0,29.0,,,,,,
60,60.0625,42,,,,6,7,14,22,,,19,6,1,19,,,6,16,10,21,,,1,23,10,27,,,10,14,11,28,,,6,2,0,5,,,19,5,4,29,,,19,9,18,14,,,5,1,1,25,,,8,15,6,1,,,19.0,26.0,1.0,10.0,,,,,,
61,60.046875,42,,,,1,5,11,1,,,6,7,6,28,,,19,1,18,28,,,0,0,7,7,,,3,1,19,18,,,0,13,19,28,,,10,14,10,20,,,1,27,12,15,,,16,14,1,28,,,10,19,17,0,,,16.0,0.0,12.0,14.0,,,,,,
62,60.046875,42,,,,19,7,19,19,,,2,1,15,29,,,16,1,7,15,,,7,5,19,15,,,1,12,6,27,,,1,9,1,1,,,10,14,0,8,,,6,1,19,20,,,0,23,14,22,,,6,25,4,1,,,11.0,28.0,0.0,9.0,,,,,,
63,60.015625,42,,,,0,11,18,14,,,1,26,0,25,,,10,17,11,1,,,0,15,6,16,,,19,26,15,29,,,7,2,0,13,,,2,0,19,6,,,8,0,13,1,,,16,1,7,0,,,5,29,1,17,,,0.0,10.0,19.0,24.0,,,,,,
64,60.03125,42,,,,5,0,1,7,,,7,10,7,14,,,6,18,2,29,,,1,22,0,6,,,6,23,6,4,,,1,4,6,21,,,0,0,6,26,,,4,0,10,0,,,0,25,15,29,,,6,22,7,4,,,18.0,28.0,17.0,29.0,,,,,,
65,60.078125,42,,,,8,15,14,28,,,1,29,6,3,,,1,22,1,26,,,6,1,19,14,,,10,22,7,8,,,1,25,0,11,,,19,10,7,11,,,7,7,7,3,,,18,28,13,22,,,12,28,1,13,,,6.0,4.0,1.0,4.0,,,,,,
66,60.03125,42,,,,10,24,0,7,,,0,10,1,5,,,6,1,0,25,,,1,1,13,15,,,0,4,10,28,,,19,11,7,6,,,0,20,1,25,,,0,2,10,16,,,19,14,1,22,,,1,13,10,21,,,17.0,0.0,12.0,29.0,,,,,,
67,60.03125,42,,,,18,1,19,28,,,7,11,4,0,,,0,1,1,28,,,3,1,1,26,,,18,14,19,11,,,9,0,10,1,,,10,27,19,22,,,7,2,10,24,,,1,7,19,9,,,19,6,19,26,,,15.0,28.0,0.0,18.0,,,,,,
