episode,cpu_time,seed,total_reward,timesteps,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_8_reward,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y
65,3.8125,42,13.5,72,1.5,7,15,0,26,1.5,0,16,6,23,1.5,19,21,16,29,1.5,10,28,6,28,1.5,7,3,10,0,1.5,18,29,11,28,1.5,3,29,14,14,1.5,16,0,11,22,1.5,14,0,7,14
66,5.625,42,3.0,100,0.5,19,23,6,7,0.5,11,1,7,10,0.5,1,5,4,29,0.5,4,0,0,9,0.5,14,15,15,29,0.5,14,29,19,21,-1.0,19,26,0,28,0.5,17,14,7,14,0.5,0,24,0,1
67,5.578125,42,1.5,100,0.5,19,1,16,14,-1.0,0,16,19,12,0.5,7,4,1,20,0.5,6,2,10,1,-1.0,1,25,16,22,0.5,6,22,2,0,0.5,18,15,0,19,0.5,19,24,9,1,0.5,19,26,11,22
68,2.703125,42,13.5,57,1.5,6,29,0,25,1.5,6,12,18,29,1.5,0,8,15,14,1.5,0,12,13,28,1.5,19,19,15,28,1.5,0,11,0,1,1.5,1,24,12,15,1.5,6,13,11,29,1.5,17,14,19,14
69,2.453125,42,13.5,57,1.5,14,22,18,15,1.5,10,28,0,6,1.5,6,15,19,18,1.5,0,11,7,15,1.5,1,23,12,22,1.5,0,23,8,15,1.5,16,22,0,1,1.5,19,8,2,0,1.5,6,18,6,29
70,3.109375,42,13.5,59,1.5,15,1,18,14,1.5,6,23,7,0,1.5,19,6,15,29,1.5,10,25,19,7,1.5,1,28,13,22,1.5,1,24,10,21,1.5,13,14,6,7,1.5,12,14,4,29,1.5,6,19,8,14
71,2.671875,42,13.5,62,1.5,6,18,12,15,1.5,0,19,11,14,1.5,9,15,13,29,1.5,19,4,6,25,1.5,1,12,9,0,1.5,12,22,19,29,1.5,2,29,7,1,1.5,18,29,16,28,1.5,0,26,6,6
72,3.984375,42,13.5,86,1.5,4,1,18,14,1.5,19,29,1,20,1.5,9,0,10,22,1.5,1,1,0,13,1.5,10,17,7,11,1.5,1,12,19,10,1.5,6,21,14,15,1.5,0,27,6,17,1.5,15,28,13,14
73,1.84375,42,13.5,37,1.5,7,11,10,1,1.5,1,16,6,24,1.5,0,23,7,1,1.5,6,11,19,21,1.5,0,15,19,2,1.5,6,8,7,0,1.5,1,0,5,0,1.5,0,18,11,1,1.5,6,6,0,4
74,3.09375,42,13.5,71,1.5,19,4,19,6,1.5,6,7,8,15,1.5,15,0,10,14,1.5,7,13,6,2,1.5,19,25,19,9,1.5,3,29,5,1,1.5,19,21,1,23,1.5,9,1,19,5,1.5,19,20,6,16
