episode,cpu_time,seed,max_steps,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y
57,4.09375,42,28.0,6.0,5.0,8.0,10.0,6.0,7.0,4.0,3.0,6,3,7,1,24.0,23.0,8,0,0,15,28.0,15.0,6,8,8,19,18.0,11.0,6,10,5,18,,,,,,
58,3.25,42,23.0,6.0,5.0,3.0,5.0,4.0,1.0,5.0,4.0,5,1,8,0,23.0,14.0,9,16,3,12,16.0,15.0,9,3,6,15,14.0,13.0,9,0,6,10,,,,,,
59,11.28125,42,34.0,4.0,3.0,2.0,9.0,4.0,10.0,4.0,3.0,2,18,0,19,13.0,12.0,0,7,3,16,17.0,16.0,0,16,6,6,34.0,23.0,3,18,2,0,,,,,,
60,1.40625,42,16.0,12.0,11.0,3.0,7.0,3.0,18.0,3.0,2.0,3,10,3,12,6.0,5.0,5,0,1,1,16.0,15.0,7,1,6,15,6.0,5.0,3,5,2,1,,,,,,
61,18.84375,42,29.0,23.0,11.0,3.0,2.0,9.0,3.0,29.0,17.0,8,1,4,10,8.0,7.0,9,14,7,19,12.0,10.0,6,13,3,6,17.0,16.0,9,10,4,1,,,,,,
62,0.5,42,19.0,19.0,14.0,5.0,18.0,1.0,10.0,7.0,6.0,9,15,8,10,6.0,5.0,9,2,6,0,12.0,11.0,4,18,5,10,9.0,8.0,6,11,7,18,,,,,,
63,60.09375,42,,,,,,,,,,6,9,0,4,,,0,8,1,10,,,3,1,6,5,,,1,0,6,16,,,7.0,1.0,5.0,0.0
64,2.171875,42,21.0,10.0,9.0,9.0,3.0,6.0,9.0,11.0,10.0,9,10,0,11,21.0,15.0,0,15,6,8,19.0,18.0,9,14,7,0,5.0,4.0,6,7,6,3,,,,,,
65,42.53125,42,25.0,25.0,23.0,0.0,9.0,9.0,15.0,16.0,15.0,5,9,0,19,5.0,4.0,9,12,8,9,8.0,7.0,6,19,3,15,18.0,17.0,0,15,6,4,,,,,,
66,1.0625,42,29.0,29.0,18.0,3.0,19.0,9.0,13.0,19.0,18.0,8,0,0,10,22.0,18.0,9,19,2,10,13.0,12.0,8,9,6,19,12.0,11.0,9,12,6,4,,,,,,
67,0.3125,42,20.0,16.0,14.0,0.0,5.0,0.0,15.0,20.0,18.0,0,11,6,1,16.0,14.0,5,9,0,0,6.0,5.0,6,7,6,2,14.0,13.0,0,19,4,10,,,,,,
68,1.953125,42,25.0,7.0,6.0,4.0,9.0,9.0,10.0,8.0,7.0,6,14,8,9,25.0,13.0,5,9,4,19,7.0,6.0,7,0,2,1,15.0,14.0,7,18,6,5,,,,,,
69,38.65625,42,22.0,10.0,9.0,0.0,16.0,6.0,19.0,12.0,11.0,9,12,0,10,22.0,21.0,9,2,4,18,21.0,11.0,0,13,6,12,3.0,2.0,8,1,7,0,,,,,,
70,12.796875,42,38.0,21.0,20.0,3.0,16.0,7.0,0.0,11.0,10.0,9,10,3,6,38.0,20.0,7,19,7,1,19.0,18.0,1,18,9,8,32.0,9.0,6,13,8,18,,,,,,
71,0.828125,42,18.0,18.0,12.0,7.0,18.0,5.0,10.0,9.0,8.0,6,9,3,4,4.0,3.0,2,19,0,18,8.0,7.0,8,9,9,15,11.0,10.0,3,10,0,17,,,,,,
72,20.640625,42,34.0,22.0,13.0,0.0,10.0,3.0,12.0,34.0,19.0,9,12,0,14,2.0,1.0,6,0,7,0,23.0,22.0,3,18,1,0,16.0,15.0,7,1,9,14,,,,,,
73,8.828125,42,27.0,27.0,17.0,9.0,12.0,0.0,16.0,3.0,2.0,3,9,3,11,14.0,13.0,8,0,6,11,15.0,14.0,6,7,9,18,15.0,14.0,4,10,0,0,,,,,,
74,60.109375,42,,,,,,,,,,6,19,2,19,,,9,2,9,5,,,9,14,6,9,,,3,17,0,14,,,0.0,13.0,4.0,10.0
75,0.4375,42,21.0,14.0,13.0,6.0,4.0,0.0,11.0,8.0,7.0,0,3,4,0,5.0,4.0,6,15,6,19,4.0,3.0,5,19,8,19,21.0,20.0,0,1,3,18,,,,,,
76,0.515625,42,23.0,5.0,4.0,3.0,2.0,0.0,1.0,20.0,19.0,9,16,3,3,2.0,1.0,4,1,5,1,13.0,12.0,3,4,9,10,23.0,22.0,3,19,7,1,,,,,,
77,18.59375,42,32.0,14.0,13.0,8.0,0.0,0.0,5.0,21.0,20.0,5,19,9,5,32.0,15.0,0,12,6,15,14.0,13.0,3,13,3,0,23.0,18.0,9,19,9,1,,,,,,
78,60.109375,42,,,,,,,,,,0,5,0,15,,,0,12,6,11,,,6,13,6,8,,,9,19,0,10,,,0.0,2.0,6.0,14.0
79,3.0,42,40.0,14.0,13.0,9.0,8.0,4.0,0.0,31.0,29.0,9,4,0,16,40.0,13.0,0,3,9,3,28.0,17.0,2,9,8,0,23.0,21.0,2,1,8,10,,,,,,
80,60.078125,42,,,,,,,,,,1,9,0,4,,,0,1,0,0,,,9,9,0,18,,,3,1,0,5,,,6.0,12.0,8.0,19.0
81,46.625,42,27.0,9.0,8.0,6.0,6.0,3.0,1.0,16.0,15.0,9,17,9,2,7.0,6.0,8,9,2,9,19.0,18.0,9,15,0,6,27.0,22.0,2,1,6,13,,,,,,
82,0.75,42,22.0,9.0,8.0,8.0,9.0,9.0,2.0,19.0,7.0,9,16,6,16,17.0,9.0,9,11,8,19,22.0,21.0,0,13,9,1,5.0,4.0,7,19,3,19,,,,,,
83,60.15625,42,,,,,,,,,,0,4,6,16,,,4,0,5,0,,,1,10,5,18,,,0,13,7,9,,,0.0,14.0,5.0,19.0
