episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_steps,agent_9_total_distance,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
52,60.015625,42,,,,9,6,2,9,,,0,14,3,4,,,9,10,9,1,,,9,2,3,12,,,5,0,4,19,,,7,1,0,4,,,5,9,0,13,,,2,19,0,6,,,8.0,9.0,0.0,8.0,,,,,,
53,60.015625,42,,,,9,4,1,0,,,9,1,7,0,,,8,19,3,4,,,0,6,0,7,,,0,9,7,9,,,3,0,9,8,,,6,1,0,1,,,3,6,3,18,,,4.0,18.0,6.0,17.0,,,,,,
54,0.0,42,17.0,7.0,6.0,3,16,3,10,13.0,12.0,3,11,9,15,17.0,16.0,6,18,0,8,12.0,11.0,0,17,9,19,4.0,3.0,2,1,4,0,16.0,15.0,6,5,7,19,10.0,9.0,6,13,3,17,13.0,12.0,0,13,3,4,,,,,,,8.0,7.0,9.0,3.0,5.0,0.0
55,60.015625,42,,,,7,19,0,1,,,6,15,6,14,,,0,16,1,18,,,6,17,5,9,,,7,10,4,9,,,3,12,0,18,,,9,11,6,18,,,6,10,0,19,,,3.0,6.0,3.0,16.0,,,,,,
56,60.03125,42,,,,9,1,5,0,,,9,10,3,19,,,9,18,3,13,,,9,15,3,6,,,6,0,0,9,,,1,10,9,0,,,8,9,7,10,,,6,11,0,4,,,0.0,16.0,3.0,18.0,,,,,,
57,60.03125,42,,,,4,10,0,5,,,4,9,6,9,,,9,10,2,1,,,0,17,1,9,,,3,3,3,1,,,1,0,4,18,,,2,9,9,19,,,9,9,6,4,,,9.0,13.0,6.0,19.0,,,,,,
58,0.046875,42,19.0,18.0,17.0,0,1,3,15,11.0,10.0,0,9,6,13,19.0,18.0,2,19,8,9,15.0,14.0,2,9,7,18,10.0,9.0,9,1,6,7,17.0,16.0,9,3,0,6,15.0,14.0,6,9,7,0,14.0,13.0,6,0,3,10,,,,,,,15.0,14.0,4.0,19.0,6.0,11.0
59,60.03125,42,,,,7,9,7,19,,,5,18,6,15,,,9,6,9,2,,,3,7,3,10,,,9,12,5,0,,,9,1,3,17,,,3,6,9,9,,,4,10,3,3,,,5.0,10.0,6.0,4.0,,,,,,
60,60.03125,42,,,,0,13,0,2,,,9,2,3,14,,,3,12,9,19,,,3,7,9,10,,,6,3,6,8,,,4,19,6,9,,,5,10,3,13,,,5,1,1,0,,,0.0,12.0,0.0,0.0,,,,,,
61,60.015625,42,,,,3,7,3,16,,,3,4,3,3,,,1,9,0,16,,,2,18,6,5,,,0,2,6,1,,,6,6,0,0,,,9,11,3,0,,,6,16,0,19,,,3.0,19.0,6.0,17.0,,,,,,
